STT,Chủ đề,Nhóm từ khóa,Từ khóa,Volume,18/9,17/9,11/9,29/8,20/8,1/8,VỊ TRÍ LÚC CAO NHẤT,NGÀY ĐẠT CAO NHẤT,18/9 SO VỚI LÚC CAO NHẤT (số bậc đã mất),Vị trí TB,Giữ top (%),Số ngày Top10,Δ 18/9 vs 17/9,Δ 18/9 vs 20/8,Chênh đợt tụt 29/8→18/9,Trạng thái 18/9,Phân loại theo đợt tụt,Trang đang xếp hạng,Đúng/Sai trang đích,Nhận định
14,Headhunter,Headhunter - công ty VN - ENG,headhunter company in vietnam,10,19,20,25,23,19,20,19,20/08,0,20.83,92.3,0,-1,0,-4,Đứng yên,Gần như không đổi,/news/headhunter-company-in-vietnam/,Đúng,Ổn định
15,Headhunter,Headhunter - dịch vụ,dịch vụ headhunter,590,8,10,12,9,9,11,7,12/08,1,9.58,92.3,8,-2,-1,-1,Tăng nhẹ,Gần như không đổi,/vi/tin-tuc/bao-gia-dich-vu-headhunter/,SAI - Google chọn trang khác,Mình đang lên
16,Headhunter,Headhunter - dịch vụ,dịch vụ headhunter là gì,20,27,15,14,13,11,11,11,01/08,16,14.17,92.3,0,12,16,14,Tụt mạnh,Tụt mạnh trong đợt,/vi/tin-tuc/headhunter-la-gi/,SAI - Google chọn trang khác,Biến động thị trường
17,Headhunter,Headhunter - thông tin,head hunter là gì,100,17,16,22,16,18,16,16,01/08,1,18.58,92.3,0,1,-1,1,Đứng yên,Gần như không đổi,/vi/tin-tuc/headhunter-va-recruiter/,SAI - Google chọn trang khác,Ổn định
18,Headhunter,Headhunter - thông tin,headhunter là gì,590,18,21,22,17,21,30,17,29/08,1,21.42,92.3,0,-3,-3,1,Tăng nhẹ,Gần như không đổi,/vi/tin-tuc/headhunter-la-gi/,Đúng,Mình đang lên
19,Headhunter,Headhunter - thông tin,headhunter và HR,30,2,2,2,2,2,2,2,01/08,0,2.0,92.3,12,0,0,0,Đứng yên,Gần như không đổi,/vi/tin-tuc/headhunter-la-gi/,Đúng,Ổn định
20,Headhunter,Headhunter - thông tin,headhunter và hr khác nhau như thế nào,10,13,9,13,11,11,10,8,12/08,5,11.17,92.3,4,4,2,2,Tụt nhẹ,Gần như không đổi,/vi/tin-tuc/headhunter-la-gi/,Đúng,Biến động thị trường
21,Headhunter,Headhunter - thông tin,nghề headhunter,20,25,25,23,22,22,36,21,21/08,4,25.17,92.3,0,0,3,3,Đứng yên,Gần như không đổi,/vi/tin-tuc/headhunter-la-gi/,Đúng,Ổn định
22,Headhunter,Headhunter - thông tin - so sánh - headhunter & recruiter,headhunter và recruiter,20,3,3,3,3,3,3,3,01/08,0,3.58,92.3,12,0,0,0,Đứng yên,Gần như không đổi,/vi/tin-tuc/headhunter-va-recruiter/,Đúng,Ổn định
23,Headhunter,Headhunter - thông tin - so sánh - headhunter & recruiter,phân biệt headhunter và recruiter,10,5,5,6,5,10,3,3,01/08,2,6.42,92.3,12,0,-5,0,Đứng yên,Gần như không đổi,/vi/tin-tuc/headhunter-va-recruiter/,Đúng,Ổn định
24,Headhunter,Headhunter - top công ty - ENG,top 10 headhunter in vietnam,10,,17,11,16,11,7,7,01/08,MẤT HẲN,12.27,84.6,2,,,,Rớt khỏi bảng theo dõi,Gần như không đổi,,Chưa từng xếp hạng,Mất thứ hạng 18/9
25,Headhunter,Headhunter - top công ty - ENG,top headhunter in vietnam,40,31,30,25,29,26,19,19,01/08,12,26.58,92.3,0,1,5,2,Đứng yên,Gần như không đổi,/vi/tin-tuc/cong-ty-headhunter/,SAI - Google chọn trang khác,Ổn định
26,Nhân sự,Nhân sự - công ty - cung cấp,công ty chuyên cung cấp nhân sự,10,1,1,1,1,2,3,1,09/08,0,1.36,84.6,11,0,-1,0,Đứng yên,Gần như không đổi,/vi/tin-tuc/cong-ty-cung-ung-nhan-su/,Đúng,Ổn định
27,Nhân sự,Nhân sự - công ty - cung cấp,công ty cung cấp dịch vụ nhân sự,20,,,1,1,5,4,1,21/08,MẤT HẲN,2.44,69.2,9,,,,Rớt khỏi bảng theo dõi,RỚT KHỎI TOP 10 trong đợt tụt,/vi/tin-tuc/dich-vu-thue-ngoai-nhan-su/,SAI - Google chọn trang khác,Mất thứ hạng 18/9
28,Nhân sự,Nhân sự - công ty - cung cấp,công ty cung cấp nhân sự,40,23,3,25,3,24,9,1,09/08,22,12.64,84.6,6,20,-1,20,Tụt mạnh,RỚT KHỎI TOP 10 trong đợt tụt,/vi/tin-tuc/cong-ty-cung-ung-nhan-su/,Đúng,Biến động thị trường
29,Nhân sự,Nhân sự - công ty - cung cấp,công ty cung ứng nhân sự,40,3,3,26,3,4,3,1,09/08,2,9.58,92.3,9,0,-1,0,Đứng yên,Gần như không đổi,/vi/tin-tuc/cong-ty-cung-ung-nhan-su/,Đúng,Ổn định
30,Nhân sự,Nhân sự - công ty - cung cấp,cty cung ứng nhân lực,70,27,20,26,37,28,,2,21/08,25,21.83,92.3,3,7,-1,-10,Tụt mạnh,Tăng mạnh trong đợt,/vi/tin-tuc/cong-ty-cung-ung-nhan-su/,Đúng,Biến động thị trường
31,Nhân sự,Nhân sự - công ty - cung cấp,cung cấp nhân sự,30,7,7,6,34,6,3,3,01/08,4,9.2,76.9,8,0,1,-27,Đứng yên,Tăng mạnh trong đợt,/vi/tin-tuc/cong-ty-cung-ung-nhan-su/,Đúng,Ổn định
32,Nhân sự,Nhân sự - công ty - cung cấp,cung ứng nguồn nhân lực,50,,,,,,,,,,,0.0,0,,,,Chưa từng vào top,Không có top cả hai mốc,,Chưa từng xếp hạng,Mất thứ hạng 18/9
33,Nhân sự,Nhân sự - công ty - cung cấp,cung ứng nhân sự,110,11,11,12,8,3,3,3,01/08,8,6.91,84.6,8,0,8,3,Đứng yên,RỚT KHỎI TOP 10 trong đợt tụt,/vi/tin-tuc/cong-ty-cung-ung-nhan-su/,Đúng,Ổn định
34,Nhân sự,Nhân sự - công ty - cung ứng,cung ứng nhân lực,880,,,,38,,,21,12/08,MẤT HẲN,29.5,15.4,0,,,,Rớt khỏi bảng theo dõi,Gần như không đổi,,Chưa từng xếp hạng,Mất thứ hạng 18/9
35,Nhân sự,Nhân sự - công ty - cung ứng,cung ứng nhân lực là gì,40,,,,,,,,,,,0.0,0,,,,Chưa từng vào top,Không có top cả hai mốc,,Chưa từng xếp hạng,Mất thứ hạng 18/9
36,Nhân sự,Nhân sự - công ty - cung ứng,cung ứng nhân lực tphcm,50,,,,,,,,,,,0.0,0,,,,Chưa từng vào top,Không có top cả hai mốc,,Chưa từng xếp hạng,Mất thứ hạng 18/9
37,Nhân sự,Nhân sự - công ty - cung ứng - thời vụ,cung ứng nhân lực thời vụ,20,,,,,,,,,,,0.0,0,,,,Chưa từng vào top,Không có top cả hai mốc,,Chưa từng xếp hạng,Mất thứ hạng 18/9
38,Nhân sự,Nhân sự - công ty - thuê ngoài - ENG,hr outsourcing services,80,6,4,3,3,3,4,3,12/08,3,3.82,84.6,11,2,3,3,Tụt nhẹ,Gần như không đổi,/vi/tin-tuc/dich-vu-thue-ngoai-nhan-su/,SAI - Google chọn trang khác,Biến động thị trường
39,Nhân sự,Nhân sự - công ty - thuê ngoài - ENG,outsource hr department,10,6,7,3,20,2,21,2,20/08,4,10.27,84.6,7,-1,4,-14,Đứng yên,Tăng mạnh trong đợt,/news/hr-outsourcing-services/,Đúng,Ổn định
40,Nhân sự,Nhân sự - công ty - thuê ngoài - ENG,outsource staffing,10,17,17,14,13,13,11,3,12/08,14,12.56,69.2,2,0,4,4,Đứng yên,Gần như không đổi,/vi/tin-tuc/hr-outsource-va-staffing/,SAI - Google chọn trang khác,Ổn định
41,Nhân sự,Nhân sự - công ty - thuê ngoài - ENG,outsource staffing solutions,10,29,28,26,26,,,11,14/09,18,25.22,69.2,0,1,,3,Đứng yên,Gần như không đổi,/vi/tin-tuc/hr-outsource-va-staffing/,SAI - Google chọn trang khác,Ổn định
42,Nhân sự,Nhân sự - công ty - tuyển dụng - ENG,outsource hiring agency,10,,,,,,,,,,,0.0,0,,,,Chưa từng vào top,Không có top cả hai mốc,,Chưa từng xếp hạng,Mất thứ hạng 18/9
43,Nhân sự,Nhân sự - công ty - tuyển dụng - ENG,outsource recruiting company,10,,,18,7,6,,6,20/08,MẤT HẲN,14.83,46.2,3,,,,Rớt khỏi bảng theo dõi,RỚT KHỎI TOP 10 trong đợt tụt,/news/outsourced-recruitment-service/,Đúng,Mất thứ hạng 18/9
44,Nhân sự,Nhân sự - công ty - tuyển dụng - ENG,outsource recruitment agency,10,,,29,24,28,,24,29/08,MẤT HẲN,27.0,30.8,0,,,,Rớt khỏi bảng theo dõi,Gần như không đổi,,Chưa từng xếp hạng,Mất thứ hạng 18/9
45,Nhân sự,Nhân sự - công ty - tuyển dụng - ENG,outsourced recruiting solutions,10,,8,5,5,4,5,4,20/08,MẤT HẲN,5.1,76.9,10,,,,Rớt khỏi bảng theo dõi,RỚT KHỎI TOP 10 trong đợt tụt,/news/outsourced-recruitment-service/,Đúng,Mất thứ hạng 18/9
46,Nhân sự,Nhân sự - công ty - tuyển dụng - ENG,outsourced recruitment services,10,11,,5,1,5,4,1,29/08,10,5.7,76.9,9,,6,10,Mới quay lại,RỚT KHỎI TOP 10 trong đợt tụt,/news/outsourced-recruitment-service/,Đúng,Mới quay lại top
47,Nhân sự,Nhân sự - công ty - tư vấn,công ty dịch vụ nhân sự,40,,,16,1,2,5,1,21/08,MẤT HẲN,7.33,69.2,6,,,,Rớt khỏi bảng theo dõi,RỚT KHỎI TOP 10 trong đợt tụt,/vi/tin-tuc/cong-ty-cung-ung-nhan-su/,SAI - Google chọn trang khác,Mất thứ hạng 18/9
48,Nhân sự,Nhân sự - công ty - tư vấn,công ty tư vấn nhân sự,20,,,13,6,5,12,5,20/08,MẤT HẲN,10.22,69.2,4,,,,Rớt khỏi bảng theo dõi,RỚT KHỎI TOP 10 trong đợt tụt,/vi/dich-vu/dich-vu-tu-van-nhan-su/,SAI - Google chọn trang khác,Mất thứ hạng 18/9
49,Nhân sự,Nhân sự - dịch vụ,dịch vụ nhân sự,210,,,27,9,20,3,3,01/08,MẤT HẲN,13.0,61.5,3,,,,Rớt khỏi bảng theo dõi,RỚT KHỎI TOP 10 trong đợt tụt,/vi/tin-tuc/dich-vu-thue-ngoai-nhan-su/,SAI - Google chọn trang khác,Mất thứ hạng 18/9
50,Nhân sự,Nhân sự - dịch vụ,dịch vụ nhân sự là gì,20,14,10,9,6,8,7,6,29/08,8,9.0,84.6,10,4,6,8,Tụt nhẹ,RỚT KHỎI TOP 10 trong đợt tụt,/vi/tin-tuc/dich-vu-tuyen-dung-nhan-su-la-gi/,SAI - Google chọn trang khác,Biến động thị trường
51,Nhân sự,Nhân sự - dịch vụ,dịch vụ tư vấn nhân sự,30,,,15,11,9,11,5,21/08,MẤT HẲN,10.38,61.5,4,,,,Rớt khỏi bảng theo dõi,Gần như không đổi,/vi/dich-vu/dich-vu-tu-van-nhan-su/,Đúng,Mất thứ hạng 18/9
52,Nhân sự,Nhân sự - dịch vụ,tư vấn nhân sự,260,,,8,8,7,7,7,01/08,MẤT HẲN,7.44,69.2,9,,,,Rớt khỏi bảng theo dõi,RỚT KHỎI TOP 10 trong đợt tụt,/vi/dich-vu/dich-vu-tu-van-nhan-su/,Đúng,Mất thứ hạng 18/9
53,Nhân sự,Nhân sự - dịch vụ - cung cấp,dịch vụ cung ứng nguồn nhân lực,20,28,31,37,33,26,33,2,09/08,26,28.78,69.2,1,-3,2,-5,Tăng nhẹ,Tăng mạnh trong đợt,/vi/tin-tuc/cong-ty-cung-ung-nhan-su/,SAI - Google chọn trang khác,Mình đang lên
54,Nhân sự,Nhân sự - dịch vụ - cung cấp,dịch vụ cung ứng nhân lực,40,26,23,25,,23,13,13,01/08,13,22.0,69.2,0,3,3,,Tụt nhẹ,Gần như không đổi,/vi/tin-tuc/cong-ty-cung-ung-nhan-su/,SAI - Google chọn trang khác,Do mình - SERP đứng yên mà mình tụt
55,Nhân sự,Nhân sự - dịch vụ - cung cấp,dịch vụ cung ứng nhân sự,30,10,,13,14,9,5,4,09/08,6,8.89,69.2,6,,1,-4,Mới quay lại,Gần như không đổi,/vi/tin-tuc/cong-ty-cung-ung-nhan-su/,SAI - Google chọn trang khác,Mới quay lại top
56,Nhân sự,Nhân sự - dịch vụ - gói tính lương,gói tính lương theo yêu cầu,,2,11,,,,,1,14/09,1,6.25,30.8,2,-9,,,Tăng mạnh,Gần như không đổi,/vi/tin-tuc/goi-tinh-luong-theo-yeu-cau/,SAI - Google chọn trang khác,Mình đang lên
57,Nhân sự,Nhân sự - dịch vụ - làm bảng lương,dịch vụ làm bảng lương,20,33,37,37,,38,39,33,18/09,0,36.22,69.2,0,-4,-5,,Tăng nhẹ,Gần như không đổi,/vi/dich-vu/dich-vu-tinh-luong/,SAI - Google chọn trang khác,Mình đang lên
58,Nhân sự,Nhân sự - dịch vụ - làm bảng lương,dịch vụ tính lương,320,7,3,3,10,2,3,2,12/08,5,3.82,84.6,11,4,5,-3,Tụt nhẹ,Gần như không đổi,/vi/tin-tuc/dich-vu-tinh-luong-tai-viet-nam/,SAI - Google chọn trang khác,Biến động thị trường
59,Nhân sự,Nhân sự - dịch vụ - làm bảng lương,dịch vụ tính lương bảo mật,,7,,,,,5,5,01/08,2,15.75,30.8,2,,,,Mới quay lại,Gần như không đổi,/vi/tin-tuc/bao-mat-thong-tin-ve-tien-luong/,SAI - Google chọn trang khác,Mới quay lại top
60,Nhân sự,Nhân sự - dịch vụ - làm bảng lương,dịch vụ tính tiền lương,10,3,3,3,3,3,4,3,12/08,0,3.18,84.6,11,0,0,0,Đứng yên,Gần như không đổi,/vi/tin-tuc/dich-vu-tinh-luong/,Đúng,Ổn định
61,Nhân sự,Nhân sự - dịch vụ - làm bảng lương - ENG,payroll system in vietnam,10,14,14,15,11,8,4,4,01/08,10,11.0,92.3,5,0,6,3,Đứng yên,Gần như không đổi,/news/payroll-services-in-vietnam/,SAI - Google chọn trang khác,Ổn định
62,Nhân sự,Nhân sự - dịch vụ - làm bảng lương - ENG,vietnam payroll,40,13,14,12,9,8,13,7,12/08,6,11.17,92.3,5,-1,5,4,Đứng yên,RỚT KHỎI TOP 10 trong đợt tụt,/news/payroll-services-in-vietnam/,SAI - Google chọn trang khác,Ổn định
63,Nhân sự,Nhân sự - dịch vụ - làm bảng lương - ENG,vietnam payroll calculation,10,2,2,1,1,1,2,1,20/08,1,1.5,92.3,12,0,1,1,Đứng yên,Gần như không đổi,/salary-calculator/,SAI - Google chọn trang khác,Ổn định
64,Nhân sự,Nhân sự - dịch vụ - làm bảng lương - ENG,vietnam payroll system,10,4,11,9,9,7,2,2,01/08,2,6.45,84.6,10,-7,-3,-5,Tăng mạnh,Tăng mạnh trong đợt,/news/vietnam-payroll/,Đúng,Mình đang lên
65,Nhân sự,Nhân sự - dịch vụ - quản lý,dịch vụ quản lý nhân sự,30,,,,,,,27,16/09,MẤT HẲN,27.0,7.7,0,,,,Rớt khỏi bảng theo dõi,Không có top cả hai mốc,,Chưa từng xếp hạng,Mất thứ hạng 18/9
66,Nhân sự,Nhân sự - dịch vụ - quản trị,dịch vụ quản trị lương,,3,6,4,4,3,5,3,20/08,0,4.67,92.3,12,-3,0,-1,Tăng nhẹ,Gần như không đổi,/vi/tin-tuc/dich-vu-quan-tri-luong/,Đúng,Mình đang lên
67,Nhân sự,Nhân sự - dịch vụ - thuê ngoài,cho thuê nhân sự,40,10,19,18,29,,,10,18/09,0,17.71,53.8,1,-9,,-19,Tăng mạnh,Tăng mạnh trong đợt,/vi/dich-vu/dich-vu-thue-ngoai-tuyen-dung/,Đúng,Mình đang lên
68,Nhân sự,Nhân sự - dịch vụ - thuê ngoài,cho thuê nhân sự ngoài,10,9,8,10,9,,9,3,14/09,6,8.3,76.9,9,1,,0,Đứng yên,Gần như không đổi,/vi/dich-vu/dich-vu-thue-ngoai-tuyen-dung/,Đúng,Ổn định
69,Nhân sự,Nhân sự - dịch vụ - thuê ngoài,dịch vụ cho thuê nhân sự,40,16,14,15,14,17,8,8,01/08,8,14.73,84.6,1,2,-1,2,Tụt nhẹ,Gần như không đổi,/vi/dich-vu/dich-vu-thue-ngoai-tuyen-dung/,Đúng,Biến động thị trường
70,Nhân sự,Nhân sự - dịch vụ - thuê ngoài,dịch vụ nhân sự thuê ngoài,40,10,10,11,9,9,4,4,01/08,6,8.91,84.6,10,0,1,1,Đứng yên,Gần như không đổi,/vi/dich-vu/dich-vu-thue-ngoai-tuyen-dung/,Đúng,Ổn định
71,Nhân sự,Nhân sự - dịch vụ - thuê ngoài,dịch vụ thuê ngoài nhân sự,20,10,11,9,10,8,7,6,21/08,4,8.91,84.6,10,-1,2,0,Đứng yên,Gần như không đổi,/vi/dich-vu/dich-vu-thue-ngoai-tuyen-dung/,Đúng,Ổn định
72,Nhân sự,Nhân sự - dịch vụ - thuê ngoài,giải pháp nhân sự thuê ngoài,10,7,6,6,5,4,3,3,01/08,4,5.27,84.6,11,1,3,2,Đứng yên,Gần như không đổi,/vi/dich-vu/dich-vu-thue-ngoai-tuyen-dung/,Đúng,Ổn định
73,Nhân sự,Nhân sự - dịch vụ - thuê ngoài,giải pháp thuê ngoài nhân sự,10,33,8,10,5,5,1,1,01/08,32,8.42,92.3,11,25,28,28,Tụt mạnh,RỚT KHỎI TOP 10 trong đợt tụt,/vi/tin-tuc/thue-ngoai-nhan-su-la-gi/,SAI - Google chọn trang khác,Biến động thị trường
74,Nhân sự,Nhân sự - dịch vụ - thuê ngoài,nhân sự thuê ngoài,20,,12,12,10,10,11,4,12/08,MẤT HẲN,10.5,76.9,3,,,,Rớt khỏi bảng theo dõi,RỚT KHỎI TOP 10 trong đợt tụt,/vi/dich-vu/dich-vu-thue-ngoai-tuyen-dung/,Đúng,Mất thứ hạng 18/9
75,Nhân sự,Nhân sự - dịch vụ - thuê ngoài,outsourcing nhân sự,10,12,13,17,13,15,15,2,21/08,10,12.7,76.9,1,-1,-3,-1,Đứng yên,Gần như không đổi,/vi/dich-vu/dich-vu-thue-ngoai-tuyen-dung/,Đúng,Ổn định
76,Nhân sự,Nhân sự - dịch vụ - thuê ngoài,thuê ngoài nhân sự,30,,8,8,8,8,9,8,20/08,MẤT HẲN,8.27,84.6,11,,,,Rớt khỏi bảng theo dõi,RỚT KHỎI TOP 10 trong đợt tụt,/vi/dich-vu/dich-vu-thue-ngoai-tuyen-dung/,Đúng,Mất thứ hạng 18/9
77,Nhân sự,Nhân sự - dịch vụ - thuê ngoài,thuê nhân sự bên ngoài,10,9,8,10,9,9,2,1,09/08,8,7.0,84.6,11,1,0,0,Đứng yên,Gần như không đổi,/vi/tin-tuc/thue-ngoai-nhan-su-la-gi/,SAI - Google chọn trang khác,Ổn định
78,Nhân sự,Nhân sự - dịch vụ - thuê ngoài - Định nghĩa,dịch vụ nhân sự thuê ngoài là gì,10,4,4,11,4,4,5,4,09/08,0,6.18,84.6,10,0,0,0,Đứng yên,Gần như không đổi,/vi/tin-tuc/thue-ngoai-nhan-su-la-gi/,Đúng,Ổn định
79,Nhân sự,Nhân sự - dịch vụ - thuê ngoài - Định nghĩa,thuê ngoài nhân sự là gì,10,2,2,2,2,1,1,1,01/08,1,1.45,84.6,11,0,1,0,Đứng yên,Gần như không đổi,/vi/tin-tuc/thue-ngoai-nhan-su-la-gi/,Đúng,Ổn định
80,Nhân sự,Nhân sự - dịch vụ - tính lương,dịch vụ tính lương thuê ngoài,10,13,12,12,17,24,21,12,11/09,1,17.27,84.6,0,1,-11,-4,Đứng yên,Gần như không đổi,/vi/tin-tuc/dich-vu-tinh-luong/,SAI - Google chọn trang khác,Ổn định
81,Nhân sự,Nhân sự - dịch vụ - tính lương,tính lương thuê ngoài,,15,15,17,15,17,7,7,01/08,8,13.27,84.6,3,0,-2,0,Đứng yên,Gần như không đổi,/vi/tin-tuc/dich-vu-tinh-luong-thue-ngoai/,Đúng,Ổn định
82,Nhân sự,Nhân sự - dịch vụ - tính lương - ENG,payroll outsourcing vietnam,10,,,15,,15,16,14,14/09,MẤT HẲN,15.86,53.8,0,,,,Rớt khỏi bảng theo dõi,Không có top cả hai mốc,,Chưa từng xếp hạng,Mất thứ hạng 18/9
83,Nhân sự,Nhân sự - dịch vụ - tính lương - ENG,payroll provider vietnam,10,10,9,13,12,11,12,9,17/09,1,11.25,92.3,3,1,-1,-2,Đứng yên,Gần như không đổi,/news/payroll-services-in-vietnam/,Đúng,Ổn định
84,Nhân sự,Nhân sự - dịch vụ - tính lương - ENG,payroll services in vietnam,50,13,13,11,11,11,12,9,14/09,4,11.67,92.3,1,0,2,2,Đứng yên,Gần như không đổi,/news/payroll-services-in-vietnam/,Đúng,Ổn định
85,Nhân sự,Nhân sự - dịch vụ - tuyển dụng,dịch vụ tuyển dụng nhân sự,90,25,24,23,27,26,16,16,01/08,9,23.73,84.6,0,1,-1,-2,Đứng yên,Gần như không đổi,/vi/dich-vu/dich-vu-tuyen-dung-cap-cao/,SAI - Google chọn trang khác,Ổn định
86,Nhân sự,Nhân sự - dịch vụ - tuyển dụng,dịch vụ tuyển dụng nhân sự trọn gói,50,,31,28,23,30,24,19,09/08,MẤT HẲN,25.78,69.2,0,,,,Rớt khỏi bảng theo dõi,Gần như không đổi,,Chưa từng xếp hạng,Mất thứ hạng 18/9
87,Nhân sự,Nhân sự - dịch vụ - tuyển dụng - cấp cao,dịch vụ tuyển dụng nhân sự cấp cao,50,12,11,14,12,13,11,9,14/09,3,11.92,92.3,1,1,-1,0,Đứng yên,Gần như không đổi,/vi/dich-vu/dich-vu-tuyen-dung-cap-cao/,Đúng,Ổn định
88,Nhân sự,Nhân sự - dịch vụ - tuyển dụng - cấp cao,tuyển dụng nhân sự cấp cao,100,13,11,11,13,12,19,8,12/08,5,11.92,92.3,3,2,1,0,Tụt nhẹ,Gần như không đổi,/vi/dich-vu/dich-vu-tuyen-dung-cap-cao/,Đúng,Biến động thị trường
89,Nhân sự,Nhân sự - dịch vụ - tuyển dụng - ENG,executive search in vietnam,70,,,,,,,40,09/08,MẤT HẲN,40.0,7.7,0,,,,Rớt khỏi bảng theo dõi,Không có top cả hai mốc,,Chưa từng xếp hạng,Mất thứ hạng 18/9
90,Nhân sự,Nhân sự - dịch vụ - tuyển dụng - ENG,executive search vietnam,70,38,,36,,,,36,11/09,2,37.33,23.1,0,,,,Mới quay lại,Gần như không đổi,/news/headhunter-company-in-vietnam/,SAI - Google chọn trang khác,Mới quay lại top
91,Nhân sự,Nhân sự - hợp đồng - thuê ngoài,hợp đồng thuê nhân sự ngoài,40,3,3,3,3,3,3,3,01/08,0,3.0,84.6,11,0,0,0,Đứng yên,Gần như không đổi,/vi/tin-tuc/hop-dong-thue-nhan-su-ngoai/,Đúng,Ổn định
92,Nhân sự,Nhân sự - kế hoạch - nguồn nhân lực,kế hoạch nguồn nhân lực là gì,10,6,10,1,4,1,1,1,01/08,5,3.64,84.6,11,-4,5,2,Tăng nhẹ,Gần như không đổi,/vi/tin-tuc/ke-hoach-nguon-nhan-luc-la-gi/,Đúng,Mình đang lên
93,Nhân sự,Nhân sự - phần mềm - tính lương - ENG,payroll software vietnam,10,6,7,6,4,4,4,4,01/08,2,5.0,92.3,12,-1,2,2,Đứng yên,Gần như không đổi,/news/payroll-software-vietnam/,Đúng,Ổn định
94,Nhân sự,Nhân sự - so sánh - outsource & staffing,hr outsource and staffing,10,2,2,2,1,2,2,1,29/08,1,1.91,84.6,11,0,0,1,Đứng yên,Gần như không đổi,/news/hr-outsource-and-staffing/,Đúng,Ổn định
95,Nhân sự,Nhân sự - thể loại - cấp cao,nhân sự cấp cao là gì,20,1,1,1,1,1,1,1,01/08,0,1.0,84.6,11,0,0,0,Đứng yên,Gần như không đổi,/vi/tin-tuc/nhan-su-cap-cao-la-gi/,Đúng,Ổn định
