"TỔNG HỢP THEO NHÓM TỪ KHÓA — ĐỊNH HƯỚNG NỘI DUNG: BÀI NÀO LÊN TOP, BÀI CỦA MÌNH, BÀI NÀO RỚT"
"So mốc 21/08 với 18/09. Tiêu đề là tiêu đề thật, lấy trực tiếp từ trang (336/359 trang lấy được; số còn lại chặn bot nên để trống)."
"Kiểu nội dung do máy xếp từ tiêu đề + đường dẫn, không phải đọc hết bài. Dùng để nhìn xu hướng, không dùng làm kết luận tuyệt đối."

Chủ đề,Nhóm từ khóa,Số key,Số bài LÊN,Số bài RỚT,KIỂU CONTENT LÊN TOP,VÍ DỤ BÀI LÊN TOP (tiêu đề thật),CONTENT CỦA MÌNH (trang HR2B đang xếp hạng),KIỂU CONTENT CỦA MÌNH,KIỂU CONTENT RỚT TOP,VÍ DỤ BÀI RỚT TOP (tiêu đề thật),KEY HR2B LÊN,KEY HR2B TỤT,KEY ĐỨNG YÊN,KEY NGOÀI BẢNG,CHỐT NHÓM,KEY ĐÃ LÊN (tên),KEY ĐÃ TỤT (tên)
Nhân sự,Nhân sự - công ty - cung ứng - thời vụ,1,2,2,Khác / không rõ (1) · Trang dịch vụ (chào bán) (1),"""Cung ứng lao động thời vụ - DỊCH VỤ CUNG ỨNG LAO ĐỘNG"" — vieclamttv.com",,,Trang dịch vụ (chào bán) (2),"""Cung ứng lao động giá rẻ trọn gói 2026"" — cungunglaodongphatdat.com | ""Dịch vụ cung ứng nhân sự thời vụ có đơn thuần là cho thuê lao động phổ thông? "" — nicvn.com",0,0,0,1,Cả nhóm nằm ngoài bảng theo dõi ở cả hai mốc — chưa đánh giá được,,
Nhân sự,Nhân sự - công ty - thuê ngoài - ENG,4,10,10,Khác / không rõ (3) · Thảo luận mạng xã hội (2),"""Human Resource Outsourcing: Leveraging External Expertise for HR Success | Lin"" — business.linkedin.com | ""Top HR Outsourcing Consultants Companies Delivering Results for Growing Teams "" — alphaapexgroup.com | ""Should You Outsource Human Resources?"" — businessnewsdaily.com","""Top 10 hr outsourcing services in Vietnam to choose in 2026"" — hr2b.com/news/hr-outsourcing-services/ | ""Top 10 công ty dịch vụ thuê ngoài nhân sự uy tín Việt Nam"" — hr2b.com/vi/tin-tuc/dich-vu-thue-ngoai-nhan-su/","Giải nghĩa khái niệm ""… là gì"" · Tổng hợp / xếp hạng ""top công ty""",Khác / không rõ (3) · Phần mềm / công cụ (2),"""forbes.com"" — forbes.com | ""HR Outsourcing: Key Benefits, Services and Best Practices"" — shrm.org | ""Security Check - Indeed.com"" — indeed.com",2,2,0,0,"GIẰNG CO: lên 2, tụt 2 — bằng nhau","outsource staffing, outsource staffing solutions","hr outsourcing services, outsource hr department"
Nhân sự,Nhân sự - công ty - tuyển dụng - ENG,5,17,19,Khác / không rõ (5) · Trang dịch vụ (chào bán) (4),"""Job Vacancies | Outsourced.co"" — outsourced.co | ""Recruiting 63 outsource Jobs 18/09/2026 - CareerViet.vn"" — careerviet.vn | ""Why Outsource Your Project Staffing To An Agency? - Brunel"" — brunel.net","""Outsourced recruitment services - Best hiring solutions"" — hr2b.com/news/outsourced-recruitment-service/",Trang dịch vụ (chào bán),Trang dịch vụ (chào bán) (7) · Khác / không rõ (7),"""Jobs and Recruitment/Hiring in Vietnam | JAC Recruitment Vietnam"" — jac-recruitment.vn | ""Find Jobs & Staffing Solutions Worldwide"" — adecco.com | ""Outsource Staffing - 20four7VA"" — 20four7va.com",0,4,0,1,"MẤT ĐẤT: tụt 4/5 key, chỉ lên 0. Nhóm cần xem lại trước",,"outsource recruiting company, outsource recruitment agency, outsourced recruiting solutions, outsourced recruitment services"
Nhân sự,Nhân sự - công ty - tư vấn,2,5,5,"Trang dịch vụ (chào bán) (4) · Tổng hợp / xếp hạng ""top công ty"" (1)","""kmc.vn - Tư vấn nhân sự (HR) và bảng lương - CÔNG TY TNHH TƯ VẤN KMC"" — kmc.vn | ""Dịch Vụ Tuyển Dụng Nhân Sự Trọn Gói"" — mphr.com.vn | ""Khu vực TP. Hồ Chí Minh | 0901557456 - Dịch vụ cung ứng nhân sự"" — nhankiet.vn","""Top 5 tiêu chí chọn công ty tư vấn nhân sự cho doanh nghiệp"" — hr2b.com/vi/tin-tuc/cong-ty-tu-van-nhan-su/","Tổng hợp / xếp hạng ""top công ty""","Trang dịch vụ (chào bán) (3) · Tổng hợp / xếp hạng ""top công ty"" (2)","""Top 10 công ty cung ứng nhân sự uy tín tại Việt Nam 2026"" — hr2b.com | ""Dịch Vụ TUYỂN DỤNG NHÂN SỰ Trọn Gói Chuyên Nghiệp, Uy Tín – VinaTrain Việt Nam"" — vinatrain.edu.vn | ""Dịch vụ tư vấn quản trị nhân sự"" — taca.com.vn",0,2,0,0,"MẤT ĐẤT: tụt 2/2 key, chỉ lên 0. Nhóm cần xem lại trước",,"công ty dịch vụ nhân sự, công ty tư vấn nhân sự"
Nhân sự,Nhân sự - dịch vụ,4,10,10,"Tổng hợp / xếp hạng ""top công ty"" (3) · Giải nghĩa khái niệm ""… là gì"" (3)","""Tuyển dụng 480 việc làm Nhân sự tại Hồ Chí Minh MỚI 09/2026 - CareerViet.vn"" — careerviet.vn | ""Top 6 công ty làm dịch vụ tuyển dụng nhân sự uy tín tại Việt Nam"" — amis.misa.vn | ""Outsource nhân sự là gì? Ưu nhược điểm & Giải pháp toàn diện - DigiSource"" — digisource.vn","""Dịch vụ tư vấn nhân sự (HR Consulting)"" — hr2b.com/vi/dich-vu/dich-vu-tu-van-nhan-su/ | ""Dịch vụ tuyển dụng nhân sự là gì? Top 5 công ty uy tín hiện "" — hr2b.com/vi/tin-tuc/dich-vu-tuyen-dung-nhan-su-la-gi/","Trang dịch vụ (chào bán) · Tổng hợp / xếp hạng ""top công ty""","Tổng hợp / xếp hạng ""top công ty"" (3) · Trang việc làm / hồ sơ công ty (2)","""Top 10 công ty dịch vụ thuê ngoài nhân sự uy tín Việt Nam"" — hr2b.com | ""Phần mềm nhân sự là gì? Ưu điểm của phần mềm quẩn lý nhân sự"" — acman.vn | ""Dịch vụ tuyển dụng nhân sự là gì? Top 5 công ty uy tín hiện nay"" — hr2b.com",0,4,0,0,"MẤT ĐẤT: tụt 4/4 key, chỉ lên 0. Nhóm cần xem lại trước",,"dịch vụ nhân sự, dịch vụ nhân sự là gì, dịch vụ tư vấn nhân sự, tư vấn nhân sự"
Nhân sự,Nhân sự - dịch vụ - cung cấp,3,8,9,Trang dịch vụ (chào bán) (3) · Trang việc làm / hồ sơ công ty (2),"""Dịch vụ cung ứng lao động phổ thông chất lượng tại Hà Nội - CÔNG TY TNHH NHÂN "" — cungunglaodongdaiduong.com | ""Cho thue lao dong, cung ung nhan su, cung ung lao dong pho thong"" — nhankiet.vn | ""Dịch Vụ Cung Ứng Nhân Sự & Tuyển Dụng Nhân Sự Linh Hoạt | Talentnet"" — talentnetgroup.com","""Top 10 công ty cung ứng nhân sự uy tín tại Việt Nam 2026"" — hr2b.com/vi/tin-tuc/cong-ty-cung-ung-nhan-su/","Tổng hợp / xếp hạng ""top công ty""","Tổng hợp / xếp hạng ""top công ty"" (3) · Trang dịch vụ (chào bán) (2)","""TOP 10+ Công ty cung ứng nguồn nhân lực uy tín nhất 2026"" — laodongbacninh.com.vn | ""Dịch Vụ Cung Ứng Lao Động: Lợi Ích To Lớn Mang Lại Cho Doanh Nghiệp"" — nicvn.com | ""TOP 10+ công ty cung ứng nhân lực tại Hà Nội chất lượng nhất"" — mphr.com.vn",1,2,0,0,"MẤT ĐẤT: tụt 2/3 key, chỉ lên 1. Nhóm cần xem lại trước",dịch vụ cung ứng nguồn nhân lực,"dịch vụ cung ứng nhân lực, dịch vụ cung ứng nhân sự"
Nhân sự,Nhân sự - dịch vụ - gói tính lương,1,3,3,Hướng dẫn / mẫu biểu / công thức (3),"""Gói tính lương theo yêu cầu: 6 tiêu chí chọn đơn vị phù hợp"" — hr2b.com | ""3 mẫu bảng lương công nhân xây dựng file Excel chi tiết | Cogover Blog"" — cogover.com | ""5 Cách tính lương theo sản phẩm chính xác và mẫu bảng tính lương chi tiết - IT"" — itgtechnology.vn","""Gói tính lương theo yêu cầu: 6 tiêu chí chọn đơn vị phù hợp"" — hr2b.com/vi/tin-tuc/goi-tinh-luong-theo-yeu-cau/",Hướng dẫn / mẫu biểu / công thức,Hướng dẫn / mẫu biểu / công thức (2) · Báo giá / chi phí (1),"""Phí Dịch Vụ Tính Lương"" — ketoansaovang.com.vn | ""Cách tính lương trong Excel với các hàm cơ bản [Có bảng mẫu]"" — terra-plat.vn | ""8+ mẫu phiếu lương cho nhân viên chuyên nghiệp năm 2026"" — fast.com.vn",1,0,0,0,"GIỮ ĐƯỢC: lên 1/1 key, tụt 0. Hướng nội dung đang đúng",gói tính lương theo yêu cầu,
Nhân sự,Nhân sự - dịch vụ - làm bảng lương,4,13,12,Hướng dẫn / mẫu biểu / công thức (7) · Khác / không rõ (2),"""10 Mẫu Bảng Lương Nhân Viên Mới Nhất (Word, Excel) - CloudGO"" — cloudgo.vn | ""Làm giả sao kê ngân hàng, bảng lương, hợp đồng lao động..."" — daidoanket.vn | ""Dịch vụ tính tiền lương uy tín cho doanh nghiệp vừa và nhỏ"" — l-a.com.vn","""Dịch vụ quản lý tiền lương (Payroll Outsourcing)"" — hr2b.com/vi/dich-vu/dich-vu-tinh-luong/ | ""Bảo mật thông tin về tiền lương: 6 yếu tố doanh nghiệp cần b"" — hr2b.com/vi/tin-tuc/bao-mat-thong-tin-ve-tien-luong/","Bài blog kiến thức · Giải nghĩa khái niệm ""… là gì"" · Trang dịch vụ (chào bán) · Tổng hợp / xếp hạng ""top công ty""","Hướng dẫn / mẫu biểu / công thức (7) · Tổng hợp / xếp hạng ""top công ty"" (2)","""Tổng Hợp Mẫu Bảng Lương Nhân Viên Thông Dụng Nhất Hiện Nay"" — easyhrm.vn | ""Dịch vụ rà soát thang bảng lương và bảng lương hàng tháng tại Hà Nội"" — justepslegal.com | ""Dịch vụ tính lương thuê ngoài tại Việt Nam | terra"" — terra-plat.vn",2,1,1,0,"GIỮ ĐƯỢC: lên 2/4 key, tụt 1. Hướng nội dung đang đúng","dịch vụ làm bảng lương, dịch vụ tính lương bảo mật",dịch vụ tính lương
Nhân sự,Nhân sự - dịch vụ - làm bảng lương - ENG,4,14,14,Khác / không rõ (8) · Bài blog kiến thức (3),"""Payroll Services in Vietnam (2026 Guide for Foreign Companies)"" — vietanlaw.com | ""HR Payroll System Vietnam | BHXH Cloud HRIS | Asia Payroll Hub"" — asiapayrollhub.com | ""Payroll Vietnam: Quick Guide (Updated 2026)"" — aniday.com","""Top 10 recommended payroll services in Vietnam 2026"" — hr2b.com/news/payroll-services-in-vietnam/ | ""Vietnam payroll 2026: Complete guide to tax, salary and law"" — hr2b.com/news/vietnam-payroll/","Bài blog kiến thức · Hướng dẫn / mẫu biểu / công thức · Tổng hợp / xếp hạng ""top công ty""",Bài blog kiến thức (3) · Báo giá / chi phí (3),"""Vietnam payroll 2026: Complete guide to tax, salary and law"" — hr2b.com | ""Payroll in Vietnam: Employer costs, taxes, and more | Payoneer"" — payoneer.com | ""Payroll Services"" — manpower.com.vn",1,3,0,0,"MẤT ĐẤT: tụt 3/4 key, chỉ lên 1. Nhóm cần xem lại trước",vietnam payroll system,"payroll system in vietnam, vietnam payroll, vietnam payroll calculation"
Nhân sự,Nhân sự - dịch vụ - quản lý,1,1,2,"Tổng hợp / xếp hạng ""top công ty"" (1)","""6 đơn vị cung cấp dịch vụ Quản lý Nhân sự hàng đầu tại Việt Nam | Aniday"" — aniday.com","""Dịch vụ quản lý nhân sự: Giải pháp tối ưu cho doanh nghiệp"" — hr2b.com/vi/tin-tuc/dich-vu-quan-ly-nhan-su/",Trang dịch vụ (chào bán),Trang dịch vụ (chào bán) (1) · Trang việc làm / hồ sơ công ty (1),"""DỊCH VỤ QUẢN TRỊ NHÂN SỰ – TIỀN LƯƠNG"" — nhankiet.vn | ""Tuyển dụng 672 việc làm quản lý nhân sự lương cao, phúc lợi tốt, mới nhất 18/0"" — vietnamworks.com",0,0,0,1,Cả nhóm nằm ngoài bảng theo dõi ở cả hai mốc — chưa đánh giá được,,
Nhân sự,Nhân sự - dịch vụ - quản trị,1,2,2,Trang dịch vụ (chào bán) (1) · Thảo luận mạng xã hội (1),"""Tư Vấn Cấu Trúc Lương Thưởng | Talentnet Việt Nam"" — talentnetgroup.com | ""Studocu - Access Blocked"" — studocu.vn","""Dịch vụ quản trị lương: Lợi ích, quy trình và giải pháp"" — hr2b.com/vi/tin-tuc/dich-vu-quan-tri-luong/",Hướng dẫn / mẫu biểu / công thức,"Trang dịch vụ (chào bán) (1) · Giải nghĩa khái niệm ""… là gì"" (1)","""DỊCH VỤ QUẢN TRỊ NHÂN SỰ – TIỀN LƯƠNG"" — nhankiet.vn | ""Quản lý tiền lương là gì và xây dựng hệ thống tiền lương doanh nghiệp"" — acman.vn",0,0,1,0,ĐỨNG YÊN: 1/1 key không đổi,,
Nhân sự,Nhân sự - dịch vụ - thuê ngoài,11,29,22,"Trang dịch vụ (chào bán) (11) · Giải nghĩa khái niệm ""… là gì"" (5)","""Top 15 công ty cho thuê lao động TP.HCM và các khu vực lân cận"" — l-a.com.vn | ""Dịch vụ cho thuê lao động"" — vdbconsulting.vn | ""Cho thuê lại lao động, thuê ngoài nhân sự khác nhau như nào? — Youth & Partner"" — yplawfirm.vn","""Dịch vụ thuê ngoài nhân sự (Staffing Outsourcing)"" — hr2b.com/vi/dich-vu/dich-vu-thue-ngoai-tuyen-dung/ | ""Thuê ngoài nhân sự là gì? 5 hình thức phổ biến và lợi ích"" — hr2b.com/vi/tin-tuc/thue-ngoai-nhan-su-la-gi/","Giải nghĩa khái niệm ""… là gì"" · Trang dịch vụ (chào bán)",Trang dịch vụ (chào bán) (6) · Báo giá / chi phí (4),"""Top 5+ công ty cho thuê lao động uy tín Việt Nam 2026"" — laodongbacninh.com.vn | ""https://youtube.com/watch?v=BFrY1euLNkk"" — youtube.com | ""Phòng nhân sự thuê ngoài chất lượng - chi phí ưu đãi nhất TP.HCM"" — aztax.com.vn",2,7,1,1,"MẤT ĐẤT: tụt 7/11 key, chỉ lên 2. Nhóm cần xem lại trước","cho thuê nhân sự, dịch vụ cho thuê nhân sự","dịch vụ nhân sự thuê ngoài, dịch vụ thuê ngoài nhân sự, giải pháp nhân sự thuê ngoài, giải pháp thuê ngoài nhân sự, nhân sự thuê ngoài, outsourcing nhân sự, thuê ngoài nhân sự"
Nhân sự,Nhân sự - dịch vụ - thuê ngoài - Định nghĩa,2,1,1,So sánh / phân biệt (1),"""Cho thuê lại lao động, thuê ngoài nhân sự khác nhau như nào? — Youth & Partner"" — yplawfirm.vn","""Thuê ngoài nhân sự là gì? 5 hình thức phổ biến và lợi ích"" — hr2b.com/vi/tin-tuc/thue-ngoai-nhan-su-la-gi/","Giải nghĩa khái niệm ""… là gì""",Thảo luận mạng xã hội (1),"""Tìm hiểu về thuê ngoài nhân sự"" — vn.linkedin.com",0,1,0,1,"MẤT ĐẤT: tụt 1/2 key, chỉ lên 0. Nhóm cần xem lại trước",,thuê ngoài nhân sự là gì
Nhân sự,Nhân sự - dịch vụ - tuyển dụng,2,1,9,Trang dịch vụ (chào bán) (1),"""Dịch vụ Tuyển dụng và Headhunt"" — manpower.com.vn","""Dịch vụ tuyển dụng nhân sự cấp cao"" — hr2b.com/vi/dich-vu/dich-vu-tuyen-dung-cap-cao/ | ""Dịch vụ tuyển dụng nhân sự là gì? Top 5 công ty uy tín hiện "" — hr2b.com/vi/tin-tuc/dich-vu-tuyen-dung-nhan-su-la-gi/","Trang dịch vụ (chào bán) · Tổng hợp / xếp hạng ""top công ty""","Trang dịch vụ (chào bán) (7) · Tổng hợp / xếp hạng ""top công ty"" (1)","""Top 6 công ty làm dịch vụ tuyển dụng nhân sự uy tín tại Việt Nam"" — amis.misa.vn | ""Dịch Vụ TUYỂN DỤNG NHÂN SỰ Trọn Gói Chuyên Nghiệp, Uy Tín – VinaTrain Việt Nam"" — vinatrain.edu.vn | ""Dịch Vụ Tuyển Dụng Theo Yêu Cầu | Talentnet Vietnam"" — talentnetgroup.com",1,1,0,0,"GIẰNG CO: lên 1, tụt 1 — bằng nhau",dịch vụ tuyển dụng nhân sự,dịch vụ tuyển dụng nhân sự trọn gói
